age,education,marital-status,race,workclass,education-num,occupation,relationship,sex,capital-gain,capital-loss,hours-per-week,native-country,income
*,Degree,Not-Partnered,Asian-Pac-Islander,Private,13,Exec-managerial,Other-relative,Female,0,0,40,Philippines,<=50K
*,No-Degree,Not-Partnered,White,Private,9,Craft-repair,Own-child,Male,0,0,35,United-States,<=50K
*,No-Degree,Not-Partnered,White,?,9,?,Not-in-family,Male,0,0,45,United-States,>50K
*,No-Degree,Partnered,White,Private,9,Craft-repair,Husband,Male,0,0,46,United-States,<=50K
*,Degree,Not-Partnered,White,Private,13,Handlers-cleaners,Not-in-family,Male,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,Black,Self-emp-not-inc,10,Sales,Unmarried,Male,0,1816,2,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,9,Craft-repair,Not-in-family,Male,0,0,60,United-States,<=50K
*,Degree,Not-Partnered,Black,Private,13,Other-service,Other-relative,Male,0,0,50,United-States,<=50K
*,No-Degree,Not-Partnered,White,?,2,?,Not-in-family,Female,0,0,20,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,9,Other-service,Unmarried,Female,0,0,40,United-States,<=50K
*,Degree,Not-Partnered,Asian-Pac-Islander,Self-emp-inc,14,Exec-managerial,Unmarried,Female,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,Asian-Pac-Islander,Private,9,Exec-managerial,Not-in-family,Female,0,0,40,England,<=50K
*,Degree,Partnered,White,Self-emp-not-inc,14,Sales,Husband,Male,0,0,40,United-States,>50K
*,No-Degree,Not-Partnered,White,Private,10,Other-service,Unmarried,Female,0,0,40,Mexico,<=50K
*,Degree,Not-Partnered,White,Federal-gov,12,Exec-managerial,Not-in-family,Male,0,0,42,United-States,<=50K
*,Degree,Not-Partnered,White,State-gov,14,Protective-serv,Unmarried,Male,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,7,Handlers-cleaners,Own-child,Male,0,0,16,United-States,<=50K
*,Degree,Not-Partnered,White,Local-gov,11,Prof-specialty,Not-in-family,Female,0,0,20,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,9,Other-service,Not-in-family,Male,0,1980,40,United-States,<=50K
*,No-Degree,Partnered,White,State-gov,9,Protective-serv,Husband,Male,0,0,40,United-States,<=50K
*,No-Degree,Partnered,White,Private,10,Sales,Husband,Male,0,1977,40,United-States,>50K
*,Degree,Not-Partnered,White,Private,13,Craft-repair,Not-in-family,Male,0,0,50,United-States,<=50K
*,Degree,Partnered,White,State-gov,13,Prof-specialty,Husband,Male,0,0,40,United-States,>50K
*,No-Degree,Partnered,White,Private,9,Sales,Unmarried,Female,0,0,25,United-States,<=50K
*,No-Degree,Not-Partnered,Black,Private,9,Craft-repair,Own-child,Male,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,Black,Private,9,Handlers-cleaners,Not-in-family,Male,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,9,Other-service,Own-child,Male,0,0,12,United-States,<=50K
*,Degree,Partnered,White,Private,13,Prof-specialty,Husband,Male,0,0,65,United-States,<=50K
*,No-Degree,Partnered,Black,Local-gov,10,Exec-managerial,Husband,Male,0,0,38,United-States,>50K
*,No-Degree,Not-Partnered,White,Private,10,Adm-clerical,Not-in-family,Female,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,Black,Private,10,Craft-repair,Not-in-family,Male,0,0,45,United-States,<=50K
*,No-Degree,Partnered,White,Private,4,Machine-op-inspct,Husband,Male,0,0,40,Mexico,>50K
*,No-Degree,Partnered,White,Federal-gov,10,Adm-clerical,Husband,Male,0,0,42,United-States,>50K
*,No-Degree,Partnered,Black,Private,9,Adm-clerical,Husband,Male,0,0,40,United-States,<=50K
*,Degree,Not-Partnered,White,Self-emp-not-inc,13,Exec-managerial,Not-in-family,Female,0,0,40,United-States,<=50K
*,Degree,Not-Partnered,White,?,13,?,Not-in-family,Female,0,0,50,United-States,<=50K
*,Degree,Partnered,White,Private,14,Prof-specialty,Wife,Female,0,0,50,United-States,<=50K
*,Degree,Partnered,White,State-gov,16,Prof-specialty,Husband,Male,0,0,1,United-States,>50K
*,No-Degree,Not-Partnered,Black,Private,10,Machine-op-inspct,Not-in-family,Female,0,0,28,United-States,<=50K
*,No-Degree,Partnered,White,Private,10,Machine-op-inspct,Husband,Male,0,0,40,United-States,<=50K
*,Degree,Partnered,Black,Local-gov,13,Craft-repair,Husband,Male,0,0,40,United-States,<=50K
*,No-Degree,Partnered,White,Private,10,Tech-support,Husband,Male,0,0,45,United-States,<=50K
*,Degree,Partnered,White,Federal-gov,13,Tech-support,Husband,Male,0,0,24,United-States,<=50K
*,No-Degree,Partnered,White,Private,3,Transport-moving,Other-relative,Male,0,0,40,Mexico,<=50K
*,No-Degree,Not-Partnered,White,Private,10,Craft-repair,Not-in-family,Male,0,0,40,United-States,<=50K
*,Degree,Not-Partnered,White,Federal-gov,14,Exec-managerial,Not-in-family,Female,14084,0,55,United-States,>50K
*,Degree,Partnered,White,Private,14,Prof-specialty,Other-relative,Male,7298,0,40,United-States,>50K
*,No-Degree,Not-Partnered,White,Self-emp-not-inc,9,Sales,Not-in-family,Male,0,0,40,United-States,<=50K
*,Degree,Not-Partnered,White,Private,14,Prof-specialty,Not-in-family,Female,0,1876,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,?,9,?,Own-child,Male,0,0,40,Italy,<=50K
*,Degree,Partnered,White,Private,13,Exec-managerial,Husband,Male,0,0,50,United-States,>50K
*,No-Degree,Not-Partnered,White,Local-gov,10,Prof-specialty,Not-in-family,Female,0,1340,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,State-gov,9,Adm-clerical,Unmarried,Female,0,0,35,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,7,Sales,Own-child,Female,0,0,40,United-States,<=50K
*,Degree,Partnered,Black,Private,13,Other-service,Husband,Male,7298,0,36,United-States,>50K
*,No-Degree,Not-Partnered,White,Private,9,Craft-repair,Not-in-family,Male,0,0,60,United-States,<=50K
*,No-Degree,Partnered,White,Self-emp-inc,9,Sales,Wife,Female,15024,0,35,United-States,>50K
*,No-Degree,Not-Partnered,White,Private,7,Sales,Own-child,Female,0,0,12,United-States,<=50K
*,No-Degree,Partnered,Black,Local-gov,9,Transport-moving,Husband,Male,0,0,40,United-States,<=50K
*,No-Degree,Partnered,White,Private,9,Craft-repair,Husband,Male,0,0,40,United-States,>50K
*,No-Degree,Not-Partnered,Amer-Indian-Eskimo,Private,10,Sales,Not-in-family,Female,0,0,40,United-States,<=50K
*,No-Degree,Partnered,Asian-Pac-Islander,Private,9,Craft-repair,Husband,Male,0,0,40,United-States,<=50K
*,No-Degree,Partnered,White,Self-emp-inc,4,Machine-op-inspct,Husband,Male,0,0,40,United-States,>50K
*,Degree,Not-Partnered,Black,Private,13,Exec-managerial,Not-in-family,Male,0,0,60,United-States,>50K
*,Degree,Not-Partnered,White,Private,12,Sales,Not-in-family,Female,0,0,40,United-States,<=50K
*,Degree,Partnered,White,Private,13,Sales,Husband,Male,0,0,50,Poland,<=50K
*,Degree,Partnered,White,Private,13,Prof-specialty,Husband,Male,0,0,55,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,6,Craft-repair,Not-in-family,Male,0,0,40,United-States,<=50K
*,No-Degree,Partnered,White,Private,10,Handlers-cleaners,Husband,Male,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,?,2,?,Not-in-family,Male,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,Black,Private,9,Other-service,Not-in-family,Male,0,2206,40,United-States,<=50K
*,No-Degree,Partnered,Black,Private,9,Adm-clerical,Husband,Male,0,0,20,United-States,<=50K
*,No-Degree,Not-Partnered,White,Local-gov,1,Machine-op-inspct,Not-in-family,Female,0,0,35,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,9,Sales,Own-child,Female,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,Amer-Indian-Eskimo,?,6,?,Not-in-family,Female,0,0,10,United-States,<=50K
*,No-Degree,Partnered,White,Self-emp-not-inc,9,Farming-fishing,Husband,Male,1409,0,50,United-States,<=50K
*,Degree,Not-Partnered,White,Private,11,Adm-clerical,Not-in-family,Female,0,0,20,Columbia,<=50K
*,No-Degree,Not-Partnered,White,Private,9,Adm-clerical,Not-in-family,Female,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,Black,Private,7,Transport-moving,Not-in-family,Male,3674,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,Black,Private,9,Sales,Unmarried,Female,0,0,38,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,10,Adm-clerical,Not-in-family,Male,0,0,42,United-States,<=50K
*,No-Degree,Not-Partnered,Other,Private,10,Craft-repair,Other-relative,Female,0,0,40,United-States,<=50K
*,Degree,Not-Partnered,White,Private,15,Prof-specialty,Not-in-family,Male,0,0,55,United-States,>50K
*,No-Degree,Partnered,White,State-gov,9,Other-service,Husband,Male,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,State-gov,10,Adm-clerical,Not-in-family,Female,0,0,38,United-States,<=50K
*,Degree,Partnered,White,Private,13,Exec-managerial,Husband,Male,0,0,50,Iran,>50K
*,Degree,Partnered,White,Local-gov,14,Exec-managerial,Husband,Male,0,0,70,United-States,>50K
*,No-Degree,Not-Partnered,White,Private,9,Transport-moving,Own-child,Male,0,0,40,United-States,<=50K
*,Degree,Partnered,White,Private,13,Prof-specialty,Husband,Male,0,0,40,United-States,>50K
*,No-Degree,Partnered,White,Self-emp-not-inc,9,Other-service,Wife,Female,0,0,20,United-States,<=50K
*,Degree,Partnered,White,State-gov,12,Protective-serv,Husband,Male,0,0,50,United-States,<=50K
*,No-Degree,Not-Partnered,White,?,10,?,Own-child,Male,0,0,20,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,10,Craft-repair,Not-in-family,Male,0,1741,40,United-States,<=50K
*,No-Degree,Partnered,White,Private,9,Adm-clerical,Husband,Male,0,0,35,?,<=50K
*,No-Degree,Partnered,White,Private,9,Adm-clerical,Husband,Male,0,0,45,United-States,>50K
*,No-Degree,Not-Partnered,White,Private,9,Other-service,Not-in-family,Female,0,0,34,United-States,<=50K
*,Degree,Partnered,White,Private,12,Tech-support,Husband,Male,0,1977,60,United-States,>50K
*,No-Degree,Partnered,White,Private,9,Adm-clerical,Husband,Male,0,0,40,?,<=50K
*,Degree,Partnered,White,Private,15,Prof-specialty,Wife,Female,0,0,40,United-States,>50K
*,Degree,Partnered,Black,Private,13,Adm-clerical,Wife,Female,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,Black,Local-gov,6,Other-service,Unmarried,Female,0,0,30,United-States,<=50K
*,No-Degree,Not-Partnered,White,Local-gov,10,Adm-clerical,Own-child,Male,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,10,Transport-moving,Not-in-family,Male,0,0,20,United-States,<=50K
*,No-Degree,Partnered,Asian-Pac-Islander,Self-emp-not-inc,9,Farming-fishing,Husband,Male,0,0,40,Cambodia,>50K
*,No-Degree,Not-Partnered,White,Private,9,Other-service,Own-child,Female,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,9,Other-service,Not-in-family,Female,0,0,30,United-States,<=50K
*,Degree,Not-Partnered,White,Private,11,Exec-managerial,Not-in-family,Female,0,0,45,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,4,Craft-repair,Not-in-family,Male,0,0,40,United-States,<=50K
*,Degree,Not-Partnered,White,Private,13,Prof-specialty,Own-child,Female,0,0,40,United-States,<=50K
*,No-Degree,Partnered,White,Private,9,Sales,Husband,Male,0,0,60,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,7,Other-service,Own-child,Male,0,0,12,United-States,<=50K
*,No-Degree,Partnered,White,Private,10,Sales,Husband,Male,4064,0,40,United-States,<=50K
